Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A2_061_Line_Y_1km,MOD11A2_061_Sample_X_1km,MOD11A2_061_LST_Day_1km,MOD11A2_061_QC_Day,MOD11A2_061_QC_Day_bitmask,MOD11A2_061_QC_Day_MODLAND,MOD11A2_061_QC_Day_MODLAND_Description,MOD11A2_061_QC_Day_Data_Quality_flag,MOD11A2_061_QC_Day_Data_Quality_flag_Description,MOD11A2_061_QC_Day_Emis_Error_flag,MOD11A2_061_QC_Day_Emis_Error_flag_Description,MOD11A2_061_QC_Day_LST_Error_Flag,MOD11A2_061_QC_Day_LST_Error_Flag_Description
Lavoura,MTAgro,-12.5564,-55.7224,2025-04-07,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-04-15,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-04-23,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-05-01,h12v10,306.0,673.0,305.38,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-05-09,h12v10,306.0,673.0,303.88,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-05-17,h12v10,306.0,673.0,303.48,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-05-25,h12v10,306.0,673.0,300.98,81.0,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2025-06-02,h12v10,306.0,673.0,302.62,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2025-06-10,h12v10,306.0,673.0,302.6,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-06-18,h12v10,306.0,673.0,303.94,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-06-26,h12v10,306.0,673.0,301.58,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-07-04,h12v10,306.0,673.0,302.12,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-07-12,h12v10,306.0,673.0,302.08,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-07-20,h12v10,306.0,673.0,303.18,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-07-28,h12v10,306.0,673.0,303.0,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-08-05,h12v10,306.0,673.0,303.36,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-08-13,h12v10,306.0,673.0,306.68,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-08-21,h12v10,306.0,673.0,306.84,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-08-29,h12v10,306.0,673.0,306.96,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-09-06,h12v10,306.0,673.0,309.0,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-09-14,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-09-22,h12v10,306.0,673.0,306.68,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-09-30,h12v10,306.0,673.0,309.12,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-10-08,h12v10,306.0,673.0,305.38,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
Lavoura,MTAgro,-12.5564,-55.7224,2025-10-16,h12v10,306.0,673.0,306.48,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-10-24,h12v10,306.0,673.0,309.3,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-11-01,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-11-09,h12v10,306.0,673.0,309.84,17.0,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-11-17,h12v10,306.0,673.0,309.36,0.0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-11-25,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-12-03,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-12-11,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-12-19,h12v10,306.0,673.0,0.0,2.0,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Lavoura,MTAgro,-12.5564,-55.7224,2025-12-27,h12v10,306.0,673.0,307.32,65.0,0b01000001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
